control,treatment,metric,n_pairs,mean_ctrl,mean_trt,diff,ci_lo,ci_hi,p_boot,p_mcnemar
eps=0.0,eps=0.1,detected,24,0.125,0.125,0.0,-0.16666666666666666,0.16666666666666666,1.0,1.0
eps=0.0,eps=0.1,EDT_censored,24,172.54166666666666,168.54166666666666,-4.0,-18.958333333333332,8.75,0.6404,
eps=0.0,eps=0.2,detected,24,0.125,0.125,0.0,-0.20833333333333334,0.20833333333333334,1.0,1.0
eps=0.0,eps=0.2,EDT_censored,24,172.54166666666666,166.625,-5.916666666666667,-24.62708333333333,10.667708333333318,0.5364,
eps=0.0,eps=0.4,detected,24,0.125,0.041666666666666664,-0.08333333333333333,-0.25,0.08333333333333333,0.4244,0.625
eps=0.0,eps=0.4,EDT_censored,24,172.54166666666666,177.875,5.333333333333333,-3.3333333333333335,15.543749999999969,0.2564,
eps=0.0,eps=0.6,detected,24,0.125,0.08333333333333333,-0.041666666666666664,-0.20833333333333334,0.125,0.8184,1.0
eps=0.0,eps=0.6,EDT_censored,24,172.54166666666666,174.95833333333334,2.4166666666666665,-8.791666666666666,13.541666666666666,0.6984,
eps=0.0,eps=0.8,detected,24,0.125,0.041666666666666664,-0.08333333333333333,-0.25,0.08333333333333333,0.4204,0.625
eps=0.0,eps=0.8,EDT_censored,24,172.54166666666666,176.0,3.4583333333333335,-8.0,15.291666666666666,0.5544,
eps=0.0,eps=1.0,detected,24,0.125,0.041666666666666664,-0.08333333333333333,-0.25,0.08333333333333333,0.4436,0.625
eps=0.0,eps=1.0,EDT_censored,24,172.54166666666666,176.20833333333334,3.6666666666666665,-8.25,15.458333333333334,0.5396,
