detected,detect_time_min,horizon_min,flight_distance_m,energy_wh,search_minutes,unique_cells_searched,total_search_ops,redundant_search_ops,n_swaps,n_replans,replan_ms_total,planner,initial_model,area_name,seed,replicate,arm,target_profile,elapsed_before_min,n_uavs,moving_target
False,,180.0,69202.48157564836,948.1347366777252,177.0,48,58,10,12,1,646.5277000024798,static,distance,demo_valley,5000,0,A,hiker,53.0,2,True
False,,180.0,63904.07363583715,913.7875607363007,177.0,38,59,21,11,1,705.6849999962651,static,distance,demo_valley,5001,1,A,hiker,50.0,2,True
True,132.0,180.0,47036.2173747028,677.4794407594768,129.0,29,43,14,8,1,698.5853000014686,static,distance,demo_valley,5002,2,A,injured,34.0,2,True
False,,180.0,83965.69038000033,993.6553146121202,159.0,45,53,8,12,1,584.5555000005334,static,distance,demo_valley,5003,3,A,desoriented,71.0,2,True
False,,180.0,67658.54411635805,955.0002984401852,181.0,38,59,21,12,1,664.779600003385,static,distance,demo_valley,5004,4,A,hiker,40.0,2,True
False,,180.0,65491.92966641193,918.9729160998436,175.0,43,58,15,12,1,640.9976000077222,static,distance,demo_valley,5005,5,A,desoriented,30.0,2,True
False,,180.0,86092.05882323498,991.1112233998404,153.0,51,51,0,12,1,639.8359000040728,static,distance,demo_valley,5006,6,A,injured,58.0,2,True
False,,180.0,75368.33638096743,956.5704065438131,168.0,48,56,8,12,1,613.664700001209,static,distance,demo_valley,5007,7,A,desoriented,67.0,2,True
False,,180.0,81186.94344259205,966.5021867233806,165.0,43,55,12,12,1,647.1728999949846,static,distance,demo_valley,5008,8,A,hiker,89.0,2,True
False,,180.0,92081.16765699664,1007.5351297253463,153.0,50,51,1,12,1,596.6653000114093,static,distance,demo_valley,5009,9,A,hiker,47.0,2,True
False,,180.0,70219.45447454577,934.3634272703813,172.0,36,57,21,12,1,656.4816000045539,static,distance,demo_valley,5010,10,A,desoriented,57.0,2,True
True,116.0,180.0,47367.96075490435,615.2967419655002,112.0,36,37,1,7,1,652.2874999982378,static,distance,demo_valley,5011,11,A,desoriented,45.0,2,True
False,,180.0,87738.61646666993,998.476383677747,154.0,51,51,0,12,1,585.5104000020219,static,distance,demo_valley,5012,12,A,hiker,66.0,2,True
False,,180.0,76604.65656819189,969.5688743692746,168.0,44,56,12,12,1,610.9714000003805,static,distance,demo_valley,5013,13,A,injured,34.0,2,True
False,,180.0,70380.07408864347,933.8460281825927,170.0,42,56,14,11,1,566.9947000005777,static,distance,demo_valley,5014,14,A,photographer,79.0,2,True
False,,180.0,64838.35266041418,924.0002287021588,177.0,38,59,21,11,1,617.3235999967801,static,distance,demo_valley,5015,15,A,desoriented,70.0,2,True
False,,180.0,72763.04758861935,953.5468039418514,171.0,41,57,16,11,1,558.7193999981537,static,distance,demo_valley,5016,16,A,photographer,33.0,2,True
False,,180.0,76696.7950222895,977.5267041812442,168.0,46,56,10,12,1,604.5319999957428,static,distance,demo_valley,5017,17,A,desoriented,52.0,2,True
False,,180.0,63464.66971686203,919.2912368197111,179.0,38,59,21,11,1,678.61879999964,static,distance,demo_valley,5018,18,A,hiker,53.0,2,True
True,115.0,180.0,45868.09617774861,601.44918180946,109.0,24,36,12,7,1,682.1898000016517,static,distance,demo_valley,5019,19,A,hiker,72.0,2,True
False,,180.0,79423.46609740956,955.5602273405254,164.0,41,54,13,13,1,617.5425999945219,static,distance,demo_valley,5020,20,A,desoriented,55.0,2,True
False,,180.0,99578.18873620215,1005.4738139040751,138.0,45,46,1,13,1,591.9375000039508,static,distance,demo_valley,5021,21,A,hiker,81.0,2,True
True,97.0,180.0,36312.860228263875,505.2834161368079,95.0,28,31,3,6,1,585.0245000010545,static,distance,demo_valley,5022,22,A,photographer,50.0,2,True
False,,180.0,69086.21172076385,929.8969297439489,173.0,36,57,21,12,1,629.3596000004982,static,distance,demo_valley,5023,23,A,hiker,70.0,2,True
True,65.0,180.0,27613.828360243442,341.08417829409655,58.0,18,19,1,5,6,247.39069999850472,rolling,distance,demo_valley,5000,0,B,hiker,53.0,2,True
False,,180.0,77656.36229900042,898.5241066346073,142.0,19,47,28,17,15,509.5794000008027,rolling,distance,demo_valley,5001,1,B,hiker,50.0,2,True
False,,180.0,64672.27198032293,855.3781031406876,150.0,32,50,18,17,16,591.8848000037542,rolling,distance,demo_valley,5002,2,B,injured,34.0,2,True
True,176.0,180.0,95729.18207941929,955.6824669202751,129.0,25,43,18,15,14,438.64929999654123,rolling,distance,demo_valley,5003,3,B,desoriented,71.0,2,True
False,,180.0,87416.97146261553,930.1335180823899,141.0,30,47,17,16,16,403.5970000013549,rolling,distance,demo_valley,5004,4,B,hiker,40.0,2,True
False,,180.0,70497.60252810776,851.8334084303154,141.0,26,47,21,17,15,483.88320000140084,rolling,distance,demo_valley,5005,5,B,desoriented,30.0,2,True
False,,180.0,89764.45870268864,954.4278325198081,138.0,35,46,11,15,15,595.0100000027305,rolling,distance,demo_valley,5006,6,B,injured,58.0,2,True
True,70.0,180.0,33589.905188295874,367.7993980293822,58.0,12,19,7,5,6,324.21789999807515,rolling,distance,demo_valley,5007,7,B,desoriented,67.0,2,True
False,,180.0,88961.87462069583,921.2864685373034,138.0,24,46,22,16,14,490.80839999624004,rolling,distance,demo_valley,5008,8,B,hiker,89.0,2,True
False,,180.0,92817.58036463943,958.6492807185232,135.0,22,45,23,14,14,421.01789999287575,rolling,distance,demo_valley,5009,9,B,hiker,47.0,2,True
False,,180.0,86463.22876382708,908.8700147570213,138.0,27,46,19,17,14,500.9507999948255,rolling,distance,demo_valley,5010,10,B,desoriented,57.0,2,True
True,93.0,180.0,38969.269082614686,463.8124078195436,80.0,18,26,8,8,8,393.8497000017378,rolling,distance,demo_valley,5011,11,B,desoriented,45.0,2,True
False,,180.0,91071.24205470388,946.3746051989647,135.0,29,45,16,14,14,504.09619999391,rolling,distance,demo_valley,5012,12,B,hiker,66.0,2,True
False,,180.0,90458.53825979485,940.0277347939812,135.0,36,45,9,14,13,375.26779999370774,rolling,distance,demo_valley,5013,13,B,injured,34.0,2,True
False,,180.0,67882.50593422611,866.5277926884381,150.0,13,50,37,17,16,261.7536000043401,rolling,distance,demo_valley,5014,14,B,photographer,79.0,2,True
False,,180.0,86474.21907308055,930.5088653857904,138.0,26,46,20,16,14,382.2373999964839,rolling,distance,demo_valley,5015,15,B,desoriented,70.0,2,True
False,,180.0,93956.44573649489,958.942070648267,132.0,22,44,22,14,13,294.63300000952586,rolling,distance,demo_valley,5016,16,B,photographer,33.0,2,True
True,51.0,180.0,24531.242594565905,272.3465344561201,43.0,11,14,3,3,4,221.03710000283172,rolling,distance,demo_valley,5017,17,B,desoriented,52.0,2,True
False,,180.0,75593.53490044597,882.1423463787291,139.0,19,46,27,17,15,497.1555000029184,rolling,distance,demo_valley,5018,18,B,hiker,53.0,2,True
False,,180.0,86246.25965297414,907.006649932531,138.0,26,46,20,16,15,610.7556999941153,rolling,distance,demo_valley,5019,19,B,hiker,72.0,2,True
False,,180.0,100691.76257250897,978.5054307617438,132.0,22,44,22,14,15,424.76669999905425,rolling,distance,demo_valley,5020,20,B,desoriented,55.0,2,True
False,,180.0,101834.60669040095,976.2829361455349,126.0,30,42,12,14,14,582.1818000031271,rolling,distance,demo_valley,5021,21,B,hiker,81.0,2,True
False,,180.0,81773.59251778715,888.6936986956441,138.0,27,46,19,16,15,418.0402999973012,rolling,distance,demo_valley,5022,22,B,photographer,50.0,2,True
True,89.0,180.0,40103.466769713195,449.97267971856274,72.0,17,24,7,7,7,380.53109999327717,rolling,distance,demo_valley,5023,23,B,hiker,70.0,2,True
True,8.0,180.0,5578.858918661904,54.97076748630214,7.0,2,2,0,0,1,628.646099999969,static,datadriven,demo_valley,5000,0,C,hiker,53.0,2,True
True,4.0,180.0,2520.555127546399,21.482557307385086,3.0,1,1,0,0,1,709.3246000004001,static,datadriven,demo_valley,5001,1,C,hiker,50.0,2,True
False,,180.0,65470.80653708717,922.353442613947,177.0,38,59,21,11,1,725.0637999959508,static,datadriven,demo_valley,5002,2,C,injured,34.0,2,True
