detected,detect_time_min,horizon_min,flight_distance_m,energy_wh,search_minutes,unique_cells_searched,total_search_ops,redundant_search_ops,n_swaps,n_replans,replan_ms_total,planner,initial_model,area_name,seed,replicate,arm,target_profile,elapsed_before_min,n_uavs,moving_target
False,,180.0,100147.07581968771,950.9135697653591,129.0,31,43,12,16,13,297.11199999928795,rolling,uniform,demo_valley,2000,0,uniform,hiker,70.0,2,True
False,,180.0,99327.68544909089,947.6773273584629,129.0,30,43,13,16,14,443.2180999992852,rolling,uniform,demo_valley,2001,1,uniform,hiker,46.0,2,True
False,,180.0,102860.48463068478,956.4905906508918,126.0,16,42,26,16,13,462.88150000236783,rolling,uniform,demo_valley,2002,2,uniform,photographer,38.0,2,True
False,,180.0,91987.81054524746,919.5130749828372,132.0,33,44,11,16,14,398.9054000021497,rolling,uniform,demo_valley,2003,3,uniform,injured,37.0,2,True
False,,180.0,94711.23715151352,923.3590942938149,129.0,29,43,14,17,13,534.5785999979853,rolling,uniform,demo_valley,2004,4,uniform,hiker,31.0,2,True
False,,180.0,98370.03206059837,936.7293847813843,126.0,17,42,25,17,13,580.6005999947956,rolling,uniform,demo_valley,2005,5,uniform,photographer,65.0,2,True
False,,180.0,106942.91725690805,953.1443536581158,117.0,18,39,21,17,12,522.2719999937908,rolling,uniform,demo_valley,2006,6,uniform,photographer,85.0,2,True
False,,180.0,95884.9799855288,923.004034033389,126.0,22,42,20,17,13,506.75240000146005,rolling,uniform,demo_valley,2007,7,uniform,photographer,68.0,2,True
False,,180.0,101599.99991037781,961.5204588076701,129.0,31,43,12,16,14,448.1989999912912,rolling,uniform,demo_valley,2008,8,uniform,hiker,71.0,2,True
False,,180.0,99376.70086161401,935.175285870457,126.0,27,42,15,15,13,474.5937000034246,rolling,uniform,demo_valley,2009,9,uniform,injured,87.0,2,True
False,,180.0,94776.25769484878,920.4902715921398,129.0,30,43,13,17,14,485.89199999605626,rolling,uniform,demo_valley,2010,10,uniform,hiker,56.0,2,True
False,,180.0,91831.11980604113,907.9325281219589,129.0,27,43,16,17,14,488.3951000074376,rolling,uniform,demo_valley,2011,11,uniform,desoriented,46.0,2,True
False,,180.0,92188.83789661282,931.2789841515175,135.0,25,45,20,16,14,532.0388999925854,rolling,uniform,demo_valley,2012,12,uniform,hiker,77.0,2,True
False,,180.0,91362.24036106994,932.7113083783254,138.0,26,46,20,16,15,481.2482000024829,rolling,uniform,demo_valley,2013,13,uniform,desoriented,58.0,2,True
False,,180.0,98407.63899132755,954.2606446917721,132.0,35,44,9,15,14,490.49119999745017,rolling,uniform,demo_valley,2014,14,uniform,injured,82.0,2,True
False,,180.0,97284.96417257373,922.8048576290798,126.0,23,42,19,17,13,347.6009000050908,rolling,uniform,demo_valley,2015,15,uniform,desoriented,82.0,2,True
False,,180.0,95816.64444819595,938.6167249438424,135.0,27,45,18,16,14,433.7094999946203,rolling,uniform,demo_valley,2016,16,uniform,hiker,66.0,2,True
False,,180.0,92738.89778895336,921.228778289033,132.0,30,44,14,16,14,445.5337999979747,rolling,uniform,demo_valley,2017,17,uniform,hiker,63.0,2,True
True,167.0,180.0,97338.89952466634,896.8041343916241,117.0,22,38,16,15,13,420.5039999978908,rolling,uniform,demo_valley,2018,18,uniform,desoriented,42.0,2,True
False,,180.0,99859.1337811563,951.2908672798251,129.0,32,43,11,15,14,370.6321999989086,rolling,uniform,demo_valley,2019,19,uniform,injured,65.0,2,True
False,,180.0,90847.03460402694,892.379376359167,126.0,21,42,21,17,13,378.70099999872764,rolling,uniform,demo_valley,2020,20,uniform,desoriented,42.0,2,True
False,,180.0,92727.8541060031,923.0999977548844,132.0,30,44,14,16,14,582.683999992696,rolling,uniform,demo_valley,2021,21,uniform,injured,44.0,2,True
False,,180.0,100326.04680985976,950.8337225914695,129.0,28,43,15,16,14,502.6383999911559,rolling,uniform,demo_valley,2022,22,uniform,hiker,82.0,2,True
False,,180.0,100650.43164129424,955.1964160168469,129.0,28,43,15,15,14,291.66089999580436,rolling,uniform,demo_valley,2023,23,uniform,hiker,66.0,2,True
False,,180.0,98611.34981012216,983.0254135375106,132.0,30,44,14,14,14,332.5442000059411,rolling,distance,demo_valley,2000,0,distance,hiker,70.0,2,True
False,,180.0,80164.23417363602,858.8678677947096,135.0,26,45,19,16,14,469.4835000009334,rolling,distance,demo_valley,2001,1,distance,hiker,46.0,2,True
True,124.0,180.0,64630.62878202591,667.664290665102,95.0,17,31,14,9,10,430.9166999937588,rolling,distance,demo_valley,2002,2,distance,photographer,38.0,2,True
True,6.0,180.0,5595.888518656797,36.773146419995044,4.0,1,1,0,0,1,80.94160000018746,rolling,distance,demo_valley,2003,3,distance,injured,37.0,2,True
False,,180.0,83652.24881752662,917.3701541809653,138.0,25,46,21,15,15,554.4188999992912,rolling,distance,demo_valley,2004,4,distance,hiker,31.0,2,True
False,,180.0,96698.11250001751,983.3777835041558,135.0,24,45,21,13,14,546.0670999900685,rolling,distance,demo_valley,2005,5,distance,photographer,65.0,2,True
True,56.0,180.0,28581.534162294454,301.121594134622,45.0,8,14,6,4,5,331.1785999994754,rolling,distance,demo_valley,2006,6,distance,photographer,85.0,2,True
False,,180.0,100634.2536843452,983.8501473516653,129.0,24,43,19,14,14,486.17250000097556,rolling,distance,demo_valley,2007,7,distance,photographer,68.0,2,True
False,,180.0,100852.88321630473,980.1271791062225,135.0,29,45,16,14,13,430.3685000004407,rolling,distance,demo_valley,2008,8,distance,hiker,71.0,2,True
False,,180.0,113080.62082394214,997.4392047491904,118.0,31,39,8,15,13,432.45059999026125,rolling,distance,demo_valley,2009,9,distance,injured,87.0,2,True
False,,180.0,97244.39043810903,968.234532506345,132.0,26,44,18,14,14,438.6367999977665,rolling,distance,demo_valley,2010,10,distance,hiker,56.0,2,True
False,,180.0,86600.52078055906,912.4559372521221,138.0,24,46,22,17,15,436.4992000027996,rolling,distance,demo_valley,2011,11,distance,desoriented,46.0,2,True
True,132.0,180.0,63999.77996388107,692.5623665571259,107.0,25,35,10,11,10,444.1992000083701,rolling,distance,demo_valley,2012,12,distance,hiker,77.0,2,True
False,,180.0,91481.5218510806,947.3062344205065,135.0,20,45,25,15,13,497.762199992394,rolling,distance,demo_valley,2013,13,distance,desoriented,58.0,2,True
False,,180.0,99121.18105866612,941.6342058947167,126.0,36,42,6,15,13,510.41909999639756,rolling,distance,demo_valley,2014,14,distance,injured,82.0,2,True
True,12.0,180.0,7139.48459059354,77.54275915461918,12.0,4,4,0,0,1,76.62619999973685,rolling,distance,demo_valley,2015,15,distance,desoriented,82.0,2,True
False,,180.0,85776.13527696376,912.875085484141,135.0,24,45,21,15,13,499.9269999943863,rolling,distance,demo_valley,2016,16,distance,hiker,66.0,2,True
False,,180.0,75274.12585062269,889.3829215237768,142.0,17,47,30,17,15,447.7841999987504,rolling,distance,demo_valley,2017,17,distance,hiker,63.0,2,True
True,94.0,180.0,39714.656547029845,471.91972363279547,79.0,18,26,8,8,9,410.11689999777445,rolling,distance,demo_valley,2018,18,distance,desoriented,42.0,2,True
False,,180.0,79436.8051166163,901.6650919488113,139.0,30,46,16,17,15,360.01060000307916,rolling,distance,demo_valley,2019,19,distance,injured,65.0,2,True
False,,180.0,78406.38319497548,896.2449674607636,141.0,23,47,24,17,15,414.48890000356187,rolling,distance,demo_valley,2020,20,distance,desoriented,42.0,2,True
False,,180.0,89096.08099137763,926.3280412928716,138.0,25,46,21,16,14,572.3408000039854,rolling,distance,demo_valley,2021,21,distance,injured,44.0,2,True
False,,180.0,109132.21526420109,1000.7051717114409,123.0,30,41,11,14,14,451.6206000052989,rolling,distance,demo_valley,2022,22,distance,hiker,82.0,2,True
True,5.0,180.0,5300.0,40.75734950757422,3.0,1,1,0,0,1,77.96640000105981,rolling,distance,demo_valley,2023,23,distance,hiker,66.0,2,True
False,,180.0,95208.54410269158,936.3232642098374,129.0,35,43,8,14,13,354.09590000563185,rolling,gis,demo_valley,2000,0,gis,hiker,70.0,2,True
True,4.0,180.0,3760.312423743285,31.016857346551355,3.0,1,1,0,0,1,125.32299999929819,rolling,gis,demo_valley,2001,1,gis,hiker,46.0,2,True
True,62.0,180.0,29987.057682038685,325.58689223100896,53.0,9,17,8,4,4,315.0044000012713,rolling,gis,demo_valley,2002,2,gis,photographer,38.0,2,True
True,10.0,180.0,5634.948379383021,56.68088813203666,10.0,3,3,0,0,1,76.31819999915024,rolling,gis,demo_valley,2003,3,gis,injured,37.0,2,True
False,,180.0,93238.86341917553,946.376234016433,132.0,30,44,14,14,12,543.5398000054192,rolling,gis,demo_valley,2004,4,gis,hiker,31.0,2,True
False,,180.0,97061.41934138723,953.6968649190803,129.0,23,43,20,14,13,544.4654000084483,rolling,gis,demo_valley,2005,5,gis,photographer,65.0,2,True
False,,180.0,102411.8430577074,1001.782069629644,135.0,26,45,19,14,14,467.8302999964217,rolling,gis,demo_valley,2006,6,gis,photographer,85.0,2,True
True,130.0,180.0,62924.65035406865,672.3284669871241,103.0,21,33,12,11,11,433.72030000227824,rolling,gis,demo_valley,2007,7,gis,photographer,68.0,2,True
False,,180.0,96226.34716267628,970.5964856564591,135.0,29,45,16,14,14,449.17420000001584,rolling,gis,demo_valley,2008,8,gis,hiker,71.0,2,True
True,175.0,180.0,67185.65541443159,877.00802902066,153.0,35,51,16,16,17,536.5438999988328,rolling,gis,demo_valley,2009,9,gis,injured,87.0,2,True
False,,180.0,94410.59243272562,947.053166647823,132.0,28,44,16,15,13,465.1768000003358,rolling,gis,demo_valley,2010,10,gis,hiker,56.0,2,True
False,,180.0,91531.58874457989,929.6228480839972,135.0,33,45,12,16,15,481.99330000534246,rolling,gis,demo_valley,2011,11,gis,desoriented,46.0,2,True
False,,180.0,94015.61062950167,981.2143840915609,144.0,38,48,10,15,16,525.177800003803,rolling,gis,demo_valley,2012,12,gis,hiker,77.0,2,True
False,,180.0,94999.8009147389,957.052403323748,132.0,29,44,15,14,12,474.109400002817,rolling,gis,demo_valley,2013,13,gis,desoriented,58.0,2,True
False,,180.0,88927.77148554087,917.0569431503017,135.0,28,45,17,15,14,530.9783999991851,rolling,gis,demo_valley,2014,14,gis,injured,82.0,2,True
False,,180.0,85698.94523367158,934.9360667490432,144.0,29,48,19,14,15,364.41370000102324,rolling,gis,demo_valley,2015,15,gis,desoriented,82.0,2,True
False,,180.0,70809.38145298144,890.184222157818,153.0,22,51,29,16,15,534.6720999978061,rolling,gis,demo_valley,2016,16,gis,hiker,66.0,2,True
True,94.0,180.0,35265.38315054112,467.0680656186998,84.0,18,28,10,8,8,414.1510000026756,rolling,gis,demo_valley,2017,17,gis,hiker,63.0,2,True
True,160.0,180.0,82185.71861870593,839.3460969616378,118.0,26,39,13,14,14,504.8668000035832,rolling,gis,demo_valley,2018,18,gis,desoriented,42.0,2,True
True,146.0,180.0,65277.605503259096,725.406104157365,114.0,24,37,13,14,12,397.36469999843393,rolling,gis,demo_valley,2019,19,gis,injured,65.0,2,True
False,,180.0,68844.60613844177,874.1241386075037,150.0,30,50,20,17,15,482.3151999971742,rolling,gis,demo_valley,2020,20,gis,desoriented,42.0,2,True
True,8.0,180.0,4867.894882035938,57.29429347129457,8.0,2,2,0,0,1,208.83429999958025,rolling,gis,demo_valley,2021,21,gis,injured,44.0,2,True
False,,180.0,90457.88749868918,934.4929250085522,138.0,30,46,16,15,14,545.6468000047607,rolling,gis,demo_valley,2022,22,gis,hiker,82.0,2,True
False,,180.0,99366.46505339249,969.6292749592859,132.0,30,44,14,14,12,339.9628999977722,rolling,gis,demo_valley,2023,23,gis,hiker,66.0,2,True
False,,180.0,93147.20473144655,955.0072170311503,135.0,26,45,19,14,14,377.5926999978765,rolling,datadriven,demo_valley,2000,0,datadriven,hiker,70.0,2,True
True,173.0,180.0,85612.4000477345,885.7772395348276,133.0,24,44,20,16,14,448.8558000066405,rolling,datadriven,demo_valley,2001,1,datadriven,hiker,46.0,2,True
False,,180.0,95629.31812172651,973.2723900584992,135.0,20,45,25,14,13,521.885299997848,rolling,datadriven,demo_valley,2002,2,datadriven,photographer,38.0,2,True
False,,180.0,100324.05265727456,966.3805060263248,129.0,32,43,11,14,12,418.4166000050027,rolling,datadriven,demo_valley,2003,3,datadriven,injured,37.0,2,True
False,,180.0,98044.57882907755,967.9138133373503,128.0,24,42,18,15,13,573.9056999964305,rolling,datadriven,demo_valley,2004,4,datadriven,hiker,31.0,2,True
False,,180.0,95594.45492711628,973.3335109761501,135.0,20,45,25,14,14,585.4859999944892,rolling,datadriven,demo_valley,2005,5,datadriven,photographer,65.0,2,True
False,,180.0,87611.7562822602,903.4627848737457,135.0,17,45,28,15,14,517.0641999911822,rolling,datadriven,demo_valley,2006,6,datadriven,photographer,85.0,2,True
False,,180.0,100174.56945506195,967.2989854473076,126.0,19,42,23,15,13,422.1496000091065,rolling,datadriven,demo_valley,2007,7,datadriven,photographer,68.0,2,True
False,,180.0,92903.3125953549,928.257599438487,135.0,26,45,19,14,14,452.14309999482794,rolling,datadriven,demo_valley,2008,8,datadriven,hiker,71.0,2,True
True,3.0,180.0,1864.2640687119285,15.804174394267754,2.0,0,0,0,0,1,153.74289999999746,rolling,datadriven,demo_valley,2009,9,datadriven,injured,87.0,2,True
False,,180.0,96506.71827804702,967.0150648925784,132.0,21,44,23,14,14,396.2325999964378,rolling,datadriven,demo_valley,2010,10,datadriven,hiker,56.0,2,True
True,156.0,180.0,72696.49166545276,797.7512308377684,125.0,25,41,16,14,13,427.89739999534504,rolling,datadriven,demo_valley,2011,11,datadriven,desoriented,46.0,2,True
False,,180.0,93893.38995857912,909.0341754583137,126.0,27,42,15,17,13,498.1670000051963,rolling,datadriven,demo_valley,2012,12,datadriven,hiker,77.0,2,True
