control,treatment,metric,n_pairs,mean_ctrl,mean_trt,diff,ci_lo,ci_hi,p_boot,p_mcnemar
eps=0.0,eps=0.1,detected,100,0.12,0.14,0.02,-0.05,0.09,0.6644,0.7744140625
eps=0.0,eps=0.1,EDT_censored,100,168.94,167.73,-1.21,-7.23,5.040749999999989,0.6904,
eps=0.0,eps=0.2,detected,100,0.12,0.14,0.02,-0.06,0.1,0.7132,0.8145294189453125
eps=0.0,eps=0.2,EDT_censored,100,168.94,166.25,-2.69,-9.73,5.050249999999997,0.4832,
eps=0.0,eps=0.4,detected,100,0.12,0.13,0.01,-0.06,0.07,0.8704,1.0
eps=0.0,eps=0.4,EDT_censored,100,168.94,167.91,-1.03,-6.25,3.6002499999999964,0.6756,
eps=0.0,eps=0.6,detected,100,0.12,0.14,0.02,-0.06,0.1,0.7236,0.8145294189453125
eps=0.0,eps=0.6,EDT_censored,100,168.94,169.58,0.64,-7.22,8.360499999999993,0.9064,
eps=0.0,eps=0.8,detected,100,0.12,0.07,-0.05,-0.12,0.01,0.166,0.2265625
eps=0.0,eps=0.8,EDT_censored,100,168.94,173.44,4.5,-1.43,11.15,0.1472,
eps=0.0,eps=1.0,detected,100,0.12,0.1,-0.02,-0.09,0.05,0.654,0.7744140625
eps=0.0,eps=1.0,EDT_censored,100,168.94,168.25,-0.69,-8.02,6.650249999999997,0.8732,
