detected,detect_time_min,horizon_min,flight_distance_m,energy_wh,search_minutes,unique_cells_searched,total_search_ops,redundant_search_ops,n_swaps,n_replans,replan_ms_total,planner,initial_model,area_name,seed,replicate,arm,target_profile,elapsed_before_min,n_uavs,moving_target
False,,180.0,69202.48157564836,948.1347366777252,177.0,48,58,10,12,1,616.3321000112774,static,distance,demo_valley,5000,0,A,hiker,53.0,2,True
False,,180.0,63904.07363583715,913.7875607363007,177.0,38,59,21,11,1,698.524700010239,static,distance,demo_valley,5001,1,A,hiker,50.0,2,True
True,132.0,180.0,47036.2173747028,677.4794407594768,129.0,29,43,14,8,1,679.3086000052426,static,distance,demo_valley,5002,2,A,injured,34.0,2,True
False,,180.0,83965.69038000033,993.6553146121202,159.0,45,53,8,12,1,561.5732000205753,static,distance,demo_valley,5003,3,A,desoriented,71.0,2,True
False,,180.0,67658.54411635805,955.0002984401852,181.0,38,59,21,12,1,596.2525999893842,static,distance,demo_valley,5004,4,A,hiker,40.0,2,True
False,,180.0,65491.92966641193,918.9729160998436,175.0,43,58,15,12,1,611.145500008206,static,distance,demo_valley,5005,5,A,desoriented,30.0,2,True
False,,180.0,86092.05882323498,991.1112233998404,153.0,51,51,0,12,1,614.4604999808507,static,distance,demo_valley,5006,6,A,injured,58.0,2,True
False,,180.0,75368.33638096743,956.5704065438131,168.0,48,56,8,12,1,599.37660000287,static,distance,demo_valley,5007,7,A,desoriented,67.0,2,True
False,,180.0,81186.94344259205,966.5021867233806,165.0,43,55,12,12,1,619.0802000182885,static,distance,demo_valley,5008,8,A,hiker,89.0,2,True
False,,180.0,92081.16765699664,1007.5351297253463,153.0,50,51,1,12,1,563.3272000068246,static,distance,demo_valley,5009,9,A,hiker,47.0,2,True
False,,180.0,70219.45447454577,934.3634272703813,172.0,36,57,21,12,1,625.2999000134878,static,distance,demo_valley,5010,10,A,desoriented,57.0,2,True
True,116.0,180.0,47367.96075490435,615.2967419655002,112.0,36,37,1,7,1,627.7532000058272,static,distance,demo_valley,5011,11,A,desoriented,45.0,2,True
False,,180.0,87738.61646666993,998.476383677747,154.0,51,51,0,12,1,560.9498000249005,static,distance,demo_valley,5012,12,A,hiker,66.0,2,True
False,,180.0,76604.65656819189,969.5688743692746,168.0,44,56,12,12,1,622.1134999996139,static,distance,demo_valley,5013,13,A,injured,34.0,2,True
False,,180.0,70380.07408864347,933.8460281825927,170.0,42,56,14,11,1,551.9722000008187,static,distance,demo_valley,5014,14,A,photographer,79.0,2,True
False,,180.0,64838.35266041418,924.0002287021588,177.0,38,59,21,11,1,637.9672000057326,static,distance,demo_valley,5015,15,A,desoriented,70.0,2,True
False,,180.0,72763.04758861935,953.5468039418514,171.0,41,57,16,11,1,595.1029999923776,static,distance,demo_valley,5016,16,A,photographer,33.0,2,True
False,,180.0,76696.7950222895,977.5267041812442,168.0,46,56,10,12,1,631.7328999994061,static,distance,demo_valley,5017,17,A,desoriented,52.0,2,True
False,,180.0,63464.66971686203,919.2912368197111,179.0,38,59,21,11,1,707.7687999881164,static,distance,demo_valley,5018,18,A,hiker,53.0,2,True
True,115.0,180.0,45868.09617774861,601.44918180946,109.0,24,36,12,7,1,668.9947000104439,static,distance,demo_valley,5019,19,A,hiker,72.0,2,True
False,,180.0,79423.46609740956,955.5602273405254,164.0,41,54,13,13,1,651.604499991663,static,distance,demo_valley,5020,20,A,desoriented,55.0,2,True
False,,180.0,99578.18873620215,1005.4738139040751,138.0,45,46,1,13,1,595.5385999877763,static,distance,demo_valley,5021,21,A,hiker,81.0,2,True
True,97.0,180.0,36312.860228263875,505.2834161368079,95.0,28,31,3,6,1,598.2255999933841,static,distance,demo_valley,5022,22,A,photographer,50.0,2,True
False,,180.0,69086.21172076385,929.8969297439489,173.0,36,57,21,12,1,625.0772999919718,static,distance,demo_valley,5023,23,A,hiker,70.0,2,True
False,,180.0,91814.25033808284,1000.6177203751238,151.0,50,50,0,13,1,645.8924999915325,static,distance,demo_valley,5024,24,A,photographer,53.0,2,True
False,,180.0,70771.79601080253,947.6430537344609,174.0,48,58,10,12,1,643.5905000016646,static,distance,demo_valley,5025,25,A,hiker,48.0,2,True
False,,180.0,89380.91498272266,1014.7927351121849,156.0,52,52,0,12,1,617.1102999996947,static,distance,demo_valley,5026,26,A,hiker,61.0,2,True
False,,180.0,74724.78052833828,965.31797720893,172.0,40,57,17,12,1,615.4602999904455,static,distance,demo_valley,5027,27,A,hiker,77.0,2,True
False,,180.0,78159.03283046876,979.5438753050901,167.0,49,55,6,12,1,599.9219999994239,static,distance,demo_valley,5028,28,A,injured,39.0,2,True
