detected,detect_time_min,horizon_min,flight_distance_m,energy_wh,search_minutes,unique_cells_searched,total_search_ops,redundant_search_ops,n_swaps,n_replans,replan_ms_total,planner,initial_model,area_name,seed,replicate,arm,target_profile,elapsed_before_min,n_uavs,moving_target,sweep_group,sweep_value
False,,180.0,87292.02088726076,915.8799072441398,138.0,15,46,31,17,15,306.82559999786463,rolling,custom,demo_valley,6000,0,map_eps=0.0,photographer,55.0,2,True,map_eps,0.0
False,,180.0,91298.35687113847,929.1538573324337,132.0,23,44,21,16,14,420.88619999321963,rolling,custom,demo_valley,6001,1,map_eps=0.0,desoriented,89.0,2,True,map_eps,0.0
False,,180.0,78612.4335233641,877.5050984512689,133.0,19,44,25,18,14,508.7128999966808,rolling,custom,demo_valley,6002,2,map_eps=0.0,hiker,36.0,2,True,map_eps,0.0
False,,180.0,96836.57951753438,951.9104065691396,132.0,21,44,23,14,13,431.2052999976004,rolling,custom,demo_valley,6003,3,map_eps=0.0,desoriented,43.0,2,True,map_eps,0.0
True,149.0,180.0,75630.73285187078,793.2612961415672,117.0,22,39,17,11,12,455.14599999751226,rolling,custom,demo_valley,6004,4,map_eps=0.0,hiker,65.0,2,True,map_eps,0.0
False,,180.0,95357.55554251675,941.6109308884384,132.0,27,44,17,15,14,493.5414000055971,rolling,custom,demo_valley,6005,5,map_eps=0.0,hiker,89.0,2,True,map_eps,0.0
False,,180.0,98193.7195364862,966.5270576695646,138.0,30,46,16,14,15,499.51439998949354,rolling,custom,demo_valley,6006,6,map_eps=0.0,hiker,52.0,2,True,map_eps,0.0
True,38.0,180.0,14757.95308085941,184.21541959806243,33.0,8,11,3,3,4,264.1126999978951,rolling,custom,demo_valley,6007,7,map_eps=0.0,desoriented,58.0,2,True,map_eps,0.0
False,,180.0,70976.2561348478,883.0902118639649,145.0,22,48,26,17,16,522.5916000035795,rolling,custom,demo_valley,6008,8,map_eps=0.0,hiker,70.0,2,True,map_eps,0.0
False,,180.0,99946.5665025806,971.7965153004466,129.0,28,43,15,15,14,516.7135999981838,rolling,custom,demo_valley,6009,9,map_eps=0.0,hiker,87.0,2,True,map_eps,0.0
False,,180.0,96294.985316618,936.8306125418901,132.0,27,44,17,14,14,592.0641999937288,rolling,custom,demo_valley,6010,10,map_eps=0.0,hiker,67.0,2,True,map_eps,0.0
False,,180.0,117264.65833228489,1016.6092569820772,114.0,23,38,15,14,13,318.74830000379006,rolling,custom,demo_valley,6011,11,map_eps=0.0,hiker,57.0,2,True,map_eps,0.0
False,,180.0,96800.70019049347,966.971772164594,138.0,26,46,20,14,15,515.8008000034897,rolling,custom,demo_valley,6012,12,map_eps=0.0,desoriented,41.0,2,True,map_eps,0.0
False,,180.0,117575.88467109475,1037.13034276307,120.0,23,40,17,14,13,426.8631000077221,rolling,custom,demo_valley,6013,13,map_eps=0.0,desoriented,89.0,2,True,map_eps,0.0
False,,180.0,101950.741580832,978.0065852730997,129.0,24,43,19,14,12,400.09890000419546,rolling,custom,demo_valley,6014,14,map_eps=0.0,hiker,86.0,2,True,map_eps,0.0
False,,180.0,87559.55443384484,930.5707012118185,141.0,32,47,15,15,14,571.7963000051896,rolling,custom,demo_valley,6015,15,map_eps=0.0,injured,46.0,2,True,map_eps,0.0
