sweep_group,sweep_value,n_missions,DSR,EDT_censored,EDT_median,EDT_conditional,P(T<=30),P(T<=60),P(T<=90),P(T<=120),P(T<=180),mean_flight_distance_m,mean_energy_wh,mean_search_minutes,mean_unique_cells_searched,mean_redundant_search_ops,mean_n_replans,mean_replan_ms_total,mean_n_swaps,DSR_ci_lo,DSR_ci_hi
beta_bias,-0.3,24.0,0.16666666666666666,164.125,180.0,84.75,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.125,1.0,85127.92326909267,862.9779800047996,122.54166666666667,21.833333333333332,18.916666666666668,12.916666666666666,442.1808041656732,13.791666666666666,0.06678676323880131,0.3585307066723715
beta_bias,-0.15,24.0,0.125,169.0,180.0,92.0,0.0,0.041666666666666664,0.08333333333333333,0.08333333333333333,1.0,87760.91429793346,888.5012987254668,126.20833333333333,22.666666666666668,19.291666666666668,13.416666666666666,448.00558333361096,14.25,0.043443340766555705,0.31003881288351376
beta_bias,0.0,24.0,0.125,170.83333333333334,180.0,106.66666666666667,0.0,0.0,0.08333333333333333,0.08333333333333333,1.0,88267.86152830564,894.851986047076,126.95833333333333,22.75,19.458333333333332,13.666666666666666,454.6722416668369,14.583333333333334,0.043443340766555705,0.31003881288351376
beta_bias,0.15,24.0,0.08333333333333333,168.79166666666666,180.0,45.5,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.08333333333333333,1.0,88425.01358178823,885.6219981725575,124.29166666666667,22.541666666666668,18.791666666666668,13.333333333333334,434.4654958335165,14.291666666666666,0.023158815275656514,0.25848802211330957
beta_bias,0.3,24.0,0.125,166.75,180.0,74.0,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.08333333333333333,1.0,87733.26976991184,878.3333863926077,122.95833333333333,22.166666666666668,18.708333333333332,13.166666666666666,452.9820625014054,14.041666666666666,0.043443340766555705,0.31003881288351376
map_eps,0.0,24.0,0.16666666666666666,164.58333333333334,180.0,87.5,0.041666666666666664,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.0,86810.04422855873,868.238720437765,121.79166666666667,22.208333333333332,18.291666666666668,13.0,438.73612916657595,13.833333333333334,0.06678676323880131,0.3585307066723715
map_eps,0.2,24.0,0.125,161.41666666666666,180.0,31.333333333333332,0.041666666666666664,0.125,0.125,0.125,1.0,86410.2513972589,853.8768793768563,118.0,21.958333333333332,17.25,12.625,428.7641958336887,13.458333333333334,0.043443340766555705,0.31003881288351376
map_eps,0.4,24.0,0.0,180.0,180.0,,0.0,0.0,0.0,0.0,1.0,99798.43907786331,957.4788863570116,127.75,24.166666666666668,18.416666666666668,13.666666666666666,449.3352916663298,15.125,0.0,0.13797620486675927
map_eps,0.6,24.0,0.125,162.95833333333334,180.0,43.666666666666664,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.125,1.0,97000.74898435589,884.8920880668444,110.875,22.958333333333332,13.958333333333334,11.625,417.12564583243267,13.25,0.043443340766555705,0.31003881288351376
q_bias,0.6,24.0,0.041666666666666664,174.91666666666666,180.0,58.0,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,1.0,88954.57971229516,907.4580666763504,129.91666666666666,19.958333333333332,23.291666666666668,13.625,479.0432416682127,14.916666666666666,0.007393456157134015,0.20241806497072865
q_bias,0.8,24.0,0.20833333333333334,157.33333333333334,180.0,71.2,0.08333333333333333,0.08333333333333333,0.125,0.16666666666666666,1.0,82573.60934227379,825.6601847959627,115.70833333333333,20.125,18.333333333333332,12.291666666666666,508.12249166578266,13.166666666666666,0.09244825346874064,0.4047045327035356
q_bias,1.0,24.0,0.125,168.20833333333334,180.0,85.66666666666667,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.08333333333333333,1.0,87832.37446261366,883.8845934506089,124.33333333333333,22.541666666666668,18.791666666666668,13.333333333333334,467.5700291652447,14.25,0.043443340766555705,0.31003881288351376
q_bias,1.2,24.0,0.125,165.95833333333334,180.0,67.66666666666667,0.041666666666666664,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.0,86477.91116748772,874.6875472606779,123.25,23.208333333333332,17.791666666666668,13.208333333333334,489.00551666793035,13.916666666666666,0.043443340766555705,0.31003881288351376
q_bias,1.4,24.0,0.16666666666666666,164.58333333333334,180.0,87.5,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.125,1.0,85191.7971880309,865.9398702116082,122.54166666666667,23.916666666666668,16.833333333333332,13.125,535.9030166678167,13.75,0.06678676323880131,0.3585307066723715
