detected,detect_time_min,horizon_min,flight_distance_m,energy_wh,search_minutes,unique_cells_searched,total_search_ops,redundant_search_ops,n_swaps,n_replans,replan_ms_total,planner,initial_model,area_name,seed,replicate,arm,target_profile,elapsed_before_min,n_uavs,moving_target
False,,180.0,100147.07581968771,950.9135697653591,129.0,31,43,12,16,13,335.62269899994135,rolling,uniform,demo_valley,2000,0,uniform,hiker,70.0,2,True
False,,180.0,99327.68544909089,947.6773273584629,129.0,30,43,13,16,14,412.1022999752313,rolling,uniform,demo_valley,2001,1,uniform,hiker,46.0,2,True
False,,180.0,102860.48463068478,956.4905906508918,126.0,16,42,26,16,13,452.72949943318963,rolling,uniform,demo_valley,2002,2,uniform,photographer,38.0,2,True
False,,180.0,91987.81054524746,919.5130749828372,132.0,33,44,11,16,14,354.01219909545034,rolling,uniform,demo_valley,2003,3,uniform,injured,37.0,2,True
False,,180.0,94711.23715151352,923.3590942938149,129.0,29,43,14,17,13,501.2933004181832,rolling,uniform,demo_valley,2004,4,uniform,hiker,31.0,2,True
False,,180.0,98370.03206059837,936.7293847813843,126.0,17,42,25,17,13,534.4350994564593,rolling,uniform,demo_valley,2005,5,uniform,photographer,65.0,2,True
False,,180.0,106942.91725690805,953.1443536581158,117.0,18,39,21,17,12,496.22949957847595,rolling,uniform,demo_valley,2006,6,uniform,photographer,85.0,2,True
False,,180.0,95884.9799855288,923.004034033389,126.0,22,42,20,17,13,510.3551995707676,rolling,uniform,demo_valley,2007,7,uniform,photographer,68.0,2,True
False,,180.0,98611.34981012216,983.0254135375106,132.0,30,44,14,14,14,320.50139841157943,rolling,distance,demo_valley,2000,0,distance,hiker,70.0,2,True
False,,180.0,80164.23417363602,858.8678677947096,135.0,26,45,19,16,14,450.54269989486784,rolling,distance,demo_valley,2001,1,distance,hiker,46.0,2,True
True,124.0,180.0,64630.62878202591,667.664290665102,95.0,17,31,14,9,10,404.5774999540299,rolling,distance,demo_valley,2002,2,distance,photographer,38.0,2,True
True,6.0,180.0,5595.888518656797,36.773146419995044,4.0,1,1,0,0,1,83.48330005537719,rolling,distance,demo_valley,2003,3,distance,injured,37.0,2,True
False,,180.0,83652.24881752662,917.3701541809653,138.0,25,46,21,15,15,528.0405008234084,rolling,distance,demo_valley,2004,4,distance,hiker,31.0,2,True
False,,180.0,96698.11250001751,983.3777835041558,135.0,24,45,21,13,14,512.4971002805978,rolling,distance,demo_valley,2005,5,distance,photographer,65.0,2,True
True,56.0,180.0,28581.534162294454,301.121594134622,45.0,8,14,6,4,5,317.10320070851594,rolling,distance,demo_valley,2006,6,distance,photographer,85.0,2,True
False,,180.0,100634.2536843452,983.8501473516653,129.0,24,43,19,14,14,452.6435990119353,rolling,distance,demo_valley,2007,7,distance,photographer,68.0,2,True
False,,180.0,95208.54410269158,936.3232642098374,129.0,35,43,8,14,13,388.7254996225238,rolling,gis,demo_valley,2000,0,gis,hiker,70.0,2,True
True,4.0,180.0,3760.312423743285,31.016857346551355,3.0,1,1,0,0,1,140.00120013952255,rolling,gis,demo_valley,2001,1,gis,hiker,46.0,2,True
True,62.0,180.0,29987.057682038685,325.58689223100896,53.0,9,17,8,4,4,309.8214999772608,rolling,gis,demo_valley,2002,2,gis,photographer,38.0,2,True
True,10.0,180.0,5634.948379383021,56.68088813203666,10.0,3,3,0,0,1,83.39119993615896,rolling,gis,demo_valley,2003,3,gis,injured,37.0,2,True
False,,180.0,93238.86341917553,946.376234016433,132.0,30,44,14,14,12,536.5078987088054,rolling,gis,demo_valley,2004,4,gis,hiker,31.0,2,True
False,,180.0,97061.41934138723,953.6968649190803,129.0,23,43,20,14,13,549.8946984298527,rolling,gis,demo_valley,2005,5,gis,photographer,65.0,2,True
False,,180.0,102411.8430577074,1001.782069629644,135.0,26,45,19,14,14,483.6564005818218,rolling,gis,demo_valley,2006,6,gis,photographer,85.0,2,True
True,130.0,180.0,62924.65035406865,672.3284669871241,103.0,21,33,12,11,11,471.8636004254222,rolling,gis,demo_valley,2007,7,gis,photographer,68.0,2,True
False,,180.0,102727.45576494228,979.3460769760062,126.0,26,42,16,15,13,347.7372998604551,rolling,datadriven,demo_valley,2000,0,datadriven,hiker,70.0,2,True
False,,180.0,88387.64790871712,905.4102393913915,135.0,25,45,20,17,14,411.658700555563,rolling,datadriven,demo_valley,2001,1,datadriven,hiker,46.0,2,True
False,,180.0,100744.12741566193,995.3338074804785,132.0,21,44,23,14,14,457.26240088697523,rolling,datadriven,demo_valley,2002,2,datadriven,photographer,38.0,2,True
False,,180.0,106614.11582011086,983.4705871217373,126.0,28,42,14,14,14,346.1636007996276,rolling,datadriven,demo_valley,2003,3,datadriven,injured,37.0,2,True
False,,180.0,99246.13383804042,963.0208839272922,126.0,26,42,16,15,14,515.8889001468197,rolling,datadriven,demo_valley,2004,4,datadriven,hiker,31.0,2,True
False,,180.0,103731.73992974375,1001.5035373249248,127.0,20,42,22,15,13,532.2113998699933,rolling,datadriven,demo_valley,2005,5,datadriven,photographer,65.0,2,True
False,,180.0,94783.65314382891,955.8616194473534,138.0,21,46,25,15,15,472.8466992964968,rolling,datadriven,demo_valley,2006,6,datadriven,photographer,85.0,2,True
False,,180.0,97917.98510921196,967.6727507320743,129.0,21,43,22,15,14,459.8605018109083,rolling,datadriven,demo_valley,2007,7,datadriven,photographer,68.0,2,True
