18:56:45 INFO generating 250 training incidents ...
18:56:51 INFO saved C:\Users\ADMIN\Downloads\Khóa luận\uav-sar\data\models\demo_valley_pmr.npz
18:56:51 INFO evaluating on 80 held-out incidents ...
18:56:56 INFO arm uniform                    rep  1/24 det=False t=180
18:56:57 INFO arm uniform                    rep  2/24 det=False t=180
18:56:57 INFO arm uniform                    rep  3/24 det=False t=180
18:56:58 INFO arm uniform                    rep  4/24 det=False t=180
18:56:59 INFO arm uniform                    rep  5/24 det=False t=180
18:57:00 INFO arm uniform                    rep  6/24 det=False t=180
18:57:01 INFO arm uniform                    rep  7/24 det=False t=180
18:57:01 INFO arm uniform                    rep  8/24 det=False t=180
18:57:02 INFO arm uniform                    rep  9/24 det=False t=180
18:57:03 INFO arm uniform                    rep 10/24 det=False t=180
18:57:04 INFO arm uniform                    rep 11/24 det=False t=180
18:57:04 INFO arm uniform                    rep 12/24 det=False t=180
18:57:05 INFO arm uniform                    rep 13/24 det=False t=180
18:57:06 INFO arm uniform                    rep 14/24 det=False t=180
18:57:07 INFO arm uniform                    rep 15/24 det=False t=180
18:57:07 INFO arm uniform                    rep 16/24 det=False t=180
18:57:08 INFO arm uniform                    rep 17/24 det=False t=180
18:57:09 INFO arm uniform                    rep 18/24 det=False t=180
18:57:09 INFO arm uniform                    rep 19/24 det=True t=167
18:57:10 INFO arm uniform                    rep 20/24 det=False t=180
18:57:11 INFO arm uniform                    rep 21/24 det=False t=180
18:57:11 INFO arm uniform                    rep 22/24 det=False t=180
18:57:12 INFO arm uniform                    rep 23/24 det=False t=180
18:57:13 INFO arm uniform                    rep 24/24 det=False t=180
18:57:13 INFO arm distance                   rep  1/24 det=False t=180
18:57:14 INFO arm distance                   rep  2/24 det=False t=180
18:57:15 INFO arm distance                   rep  3/24 det=True t=124
18:57:15 INFO arm distance                   rep  4/24 det=True t=6
18:57:16 INFO arm distance                   rep  5/24 det=False t=180
18:57:17 INFO arm distance                   rep  6/24 det=False t=180
18:57:17 INFO arm distance                   rep  7/24 det=True t=56
18:57:18 INFO arm distance                   rep  8/24 det=False t=180
18:57:19 INFO arm distance                   rep  9/24 det=False t=180
18:57:19 INFO arm distance                   rep 10/24 det=False t=180
18:57:20 INFO arm distance                   rep 11/24 det=False t=180
18:57:21 INFO arm distance                   rep 12/24 det=False t=180
18:57:21 INFO arm distance                   rep 13/24 det=True t=132
18:57:22 INFO arm distance                   rep 14/24 det=False t=180
18:57:23 INFO arm distance                   rep 15/24 det=False t=180
18:57:23 INFO arm distance                   rep 16/24 det=True t=12
18:57:24 INFO arm distance                   rep 17/24 det=False t=180
18:57:24 INFO arm distance                   rep 18/24 det=False t=180
