detected,detect_time_min,horizon_min,flight_distance_m,energy_wh,search_minutes,unique_cells_searched,total_search_ops,redundant_search_ops,n_swaps,n_replans,replan_ms_total,planner,initial_model,area_name,seed,replicate,arm,target_profile,elapsed_before_min,n_uavs,moving_target
True,9.0,180.0,5184.792009762342,60.682364136801176,9.0,2,3,1,0,1,104.46740000224963,rolling,datadriven,demo_valley,4000,0,pq|mixed|veg1.0,injured,38.0,2,True
False,,180.0,100500.58247002595,985.3016756841696,135.0,26,45,19,14,14,484.5484999996188,rolling,datadriven,demo_valley,4001,1,pq|mixed|veg1.0,desoriented,55.0,2,True
False,,180.0,95182.49843475605,951.3117650971669,138.0,29,46,17,15,14,496.11539999841625,rolling,datadriven,demo_valley,4002,2,pq|mixed|veg1.0,hiker,87.0,2,True
False,,180.0,94582.75886813109,931.6209658960306,132.0,15,44,29,16,14,474.7840999962136,rolling,datadriven,demo_valley,4003,3,pq|mixed|veg1.0,photographer,69.0,2,True
False,,180.0,96433.51989858254,980.5740330295414,138.0,14,46,32,14,15,399.04200000182755,rolling,datadriven,demo_valley,4004,4,pq|mixed|veg1.0,photographer,84.0,2,True
False,,180.0,67763.48040782266,886.1020481660091,156.0,13,52,39,16,17,417.5545999960377,rolling,datadriven,demo_valley,4005,5,pq|mixed|veg1.0,photographer,56.0,2,True
False,,180.0,87529.0146684972,921.1622593725012,141.0,22,47,25,15,15,341.14629999658064,rolling,datadriven,demo_valley,4006,6,pq|mixed|veg1.0,hiker,35.0,2,True
False,,180.0,93573.00354743081,926.5123704627338,132.0,27,44,17,17,14,410.05760000007285,rolling,datadriven,demo_valley,4007,7,pq|mixed|veg1.0,desoriented,88.0,2,True
False,,180.0,68587.20708790084,881.2524769610943,150.0,34,50,16,17,17,378.07410001096287,rolling,datadriven,demo_valley,4008,8,pq|mixed|veg1.0,injured,72.0,2,True
False,,180.0,78693.41141843217,921.201072873617,147.0,22,49,27,16,16,488.4036000030392,rolling,datadriven,demo_valley,4009,9,pq|mixed|veg1.0,photographer,49.0,2,True
False,,180.0,72950.25515286493,912.256086913545,153.0,23,51,28,16,16,465.08440000616247,rolling,datadriven,demo_valley,4010,10,pq|mixed|veg1.0,photographer,47.0,2,True
False,,180.0,100440.54965481677,969.3518581906666,135.0,24,45,21,14,13,366.9605999948544,rolling,datadriven,demo_valley,4011,11,pq|mixed|veg1.0,hiker,37.0,2,True
